Date,MMWR_week,Location,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average
08/04/2021,31,AZ,0,7146081,7176,0,3966245,4965,Admin,0,7176,0,3363186,2375
08/04/2021,31,ME,1346,1677415,2444,891,918624,1157,Report,1346,2444,531,860804,1359
08/04/2021,31,NE,3104,1954156,3360,2142,1044029,2269,Report,3104,3360,981,961636,1121
08/04/2021,31,OK,0,3494346,5550,0,1954517,4128,Admin,0,5551,0,1626648,1574
08/04/2021,31,VI,463,85839,337,334,48099,247,Report,463,337,131,37870,95
08/04/2021,31,DE,1295,1096340,1786,822,608615,1102,Report,1295,1786,461,515850,716
08/04/2021,31,OR,5111,4762995,5582,3254,2561764,3641,Report,5111,5582,2188,2369063,2275
08/04/2021,31,UT,24286,3029907,5192,15349,1701306,3287,Report,24286,5192,9432,1446522,2052
08/04/2021,31,NY,0,23091118,24605,0,12391008,16208,Admin,0,24606,0,11201214,9564
08/04/2021,31,NY,41428,23091118,38648,27373,12391008,24244,Report,41428,38648,15189,11165792,15655
08/04/2021,31,AL,11490,3646234,12655,9432,2104017,10280,Report,11490,12655,2527,1696031,2711
08/04/2021,31,IA,0,3157898,2212,0,1694982,1600,Admin,0,2212,0,1575844,753
08/04/2021,31,PR,0,3990725,1284,0,2189548,646,Admin,0,1284,0,1907547,680
08/04/2021,31,AS,0,52559,84,0,29009,35,Admin,0,84,0,23926,48
08/04/2021,31,MN,7996,6110306,8419,5213,3323204,5447,Report,7996,8419,2857,3043718,3244
08/04/2021,31,MT,1120,977293,1461,792,532808,1051,Report,1120,1461,399,475041,474
08/04/2021,31,AZ,12475,7146081,12675,8676,3966245,8447,Report,12475,12675,3767,3309350,4278
08/04/2021,31,DE,0,1096340,880,0,608615,583,Admin,0,881,0,527620,332
08/04/2021,31,MP,0,62095,155,0,32815,85,Admin,0,156,0,29816,75
08/04/2021,31,TX,77986,27700931,75017,56024,15560758,52223,Report,77986,75017,24286,12810625,25743
08/04/2021,31,ND,787,665764,848,566,365416,595,Report,787,848,242,306479,274
08/04/2021,31,OH,15008,11140551,16043,10435,5933100,9120,Report,15008,16043,5167,5458126,7008
08/04/2021,31,ME,0,1677415,878,0,918624,574,Admin,0,878,0,855185,356
08/04/2021,31,KS,5798,2724194,5793,3987,1519794,4147,Report,5798,5793,2043,1324216,1892
