Sex of People Fully Vaccinated,,,,,
Date generated: Wed Aug 04 2021 21:00:17 GMT-0700 (Pacific Daylight Time),,,,,
Sex,% Persons Fully Vaccinated,# Persons Fully Vaccinated,% US Population,% Persons completed vaccination in Last 14 Days,# Persons completed vaccination in Last 14
Female,52.9,79918295,50.8,50.8,1443896
Male,47.1,71284815,49.2,49.2,1397273
